debate_id,speaker,affiliation,sentiment,score
Republican_Candidates_Debate_2015-09-16,Huckabee,REP,pos,0.10600000000000001
Republican_Candidates_Debate_2015-09-16,Huckabee,REP,compound,0.16391052631578945
Republican_Candidates_Debate_2015-09-16,Rubio,REP,neg,0.05203333333333333
Republican_Candidates_Debate_2015-09-16,Rubio,REP,neu,0.8290333333333332
Republican_Candidates_Debate_2015-09-16,Rubio,REP,pos,0.1188
Republican_Candidates_Debate_2015-09-16,Rubio,REP,compound,0.3207199999999999
Republican_Candidates_Debate_2015-09-16,Cruz,REP,neg,0.06803846153846153
Republican_Candidates_Debate_2015-09-16,Cruz,REP,neu,0.8068846153846155
Republican_Candidates_Debate_2015-09-16,Cruz,REP,pos,0.12523076923076926
Republican_Candidates_Debate_2015-09-16,Cruz,REP,compound,0.17793461538461536
Republican_Candidates_Debate_2015-09-16,Carson,REP,neg,0.04635714285714286
Republican_Candidates_Debate_2015-09-16,Carson,REP,neu,0.8669642857142856
Republican_Candidates_Debate_2015-09-16,Carson,REP,pos,0.08664285714285716
Republican_Candidates_Debate_2015-09-16,Carson,REP,compound,0.12225
Republican_Candidates_Debate_2015-09-16,Trump,REP,neg,0.058740740740740746
Republican_Candidates_Debate_2015-09-16,Trump,REP,neu,0.7985555555555556
Republican_Candidates_Debate_2015-09-16,Trump,REP,pos,0.14268518518518516
Republican_Candidates_Debate_2015-09-16,Trump,REP,compound,0.13333240740740737
Republican_Candidates_Debate_2015-09-16,Bush,REP,neg,0.05828125
Republican_Candidates_Debate_2015-09-16,Bush,REP,neu,0.7677968749999999
Republican_Candidates_Debate_2015-09-16,Bush,REP,pos,0.173921875
Republican_Candidates_Debate_2015-09-16,Bush,REP,compound,0.3126031249999999
Republican_Candidates_Debate_2015-09-16,Walker,REP,neg,0.05983333333333333
Republican_Candidates_Debate_2015-09-16,Walker,REP,neu,0.8685666666666667
Republican_Candidates_Debate_2015-09-16,Walker,REP,pos,0.07170000000000001
Republican_Candidates_Debate_2015-09-16,Walker,REP,compound,0.10368999999999999
Republican_Candidates_Debate_2015-09-16,Fiorina,REP,neg,0.032269230769230765
Republican_Candidates_Debate_2015-09-16,Fiorina,REP,neu,0.847576923076923
Republican_Candidates_Debate_2015-09-16,Fiorina,REP,pos,0.12013461538461538
Republican_Candidates_Debate_2015-09-16,Fiorina,REP,compound,0.16593846153846153
Republican_Candidates_Debate_2015-09-16,Kasich,REP,neg,0.06778787878787879
Republican_Candidates_Debate_2015-09-16,Kasich,REP,neu,0.817030303030303
Republican_Candidates_Debate_2015-09-16,Kasich,REP,pos,0.11509090909090912
Republican_Candidates_Debate_2015-09-16,Kasich,REP,compound,0.17462121212121212
Republican_Candidates_Debate_2015-09-16,Christie,REP,neg,0.039892857142857154
Republican_Candidates_Debate_2015-09-16,Christie,REP,neu,0.8684642857142857
Republican_Candidates_Debate_2015-09-16,Christie,REP,pos,0.09164285714285714
Republican_Candidates_Debate_2015-09-16,Christie,REP,compound,0.30938571428571426
Republican_Candidates_Debate_2015-09-16,Unknown,MOD,neg,0.0
Republican_Candidates_Debate_2015-09-16,Unknown,MOD,neu,0.609
Republican_Candidates_Debate_2015-09-16,Unknown,MOD,pos,0.391
Republican_Candidates_Debate_2015-09-16,Unknown,MOD,compound,0.3506
Republican_Candidates_Debate_2015-09-16,Hewitt,MOD,neg,0.019208333333333334
